line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
7330,31,6,1 10 13 17 26 27,3,after_2,5,14,19,1,1,5,escaped,1,"(17,1,19)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7348,31,6,1 9 10 13 16 20,2,after_1,16,2,18,1,1,16,escaped,1,"(0,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7349,31,6,1 10 13 16 20 27,3,after_2,6,7,13,1,1,6,escaped,1,"(3,1,7)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7353,31,6,1 9 10 13 17 20,2,after_1,8,14,22,1,1,8,escaped,1,"(12,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7356,31,6,1 10 13 17 20 26,2,after_1,10,5,15,1,1,10,escaped,1,"(4,1,5)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7357,31,6,1 10 13 16 17 20,2,after_1,17,1,18,1,1,17,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7358,31,6,1 3 9 10 13 29,2,after_1,8,1,9,1,1,8,escaped,1,"(5,1,9)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
7360,31,6,1 9 10 13 27 29,2,after_1,19,3,22,1,1,19,escaped,1,"(1,1,3)",1,1,13,"(1, 1, 13)",1,"(1, 1, 13)",1
7363,31,6,1 10 13 19 27 29,2,after_1,3,9,12,1,1,3,escaped,1,"(10,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7366,31,6,1 10 13 26 27 29,2,after_1,3,8,11,1,1,3,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7370,31,6,1 10 13 16 27 29,2,after_1,2,19,21,1,1,2,escaped,1,"(18,1,19)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7371,31,6,1 10 13 16 19 29,3,after_2,3,9,12,1,1,3,escaped,1,"(10,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7373,31,6,1 3 10 13 17 29,2,after_1,15,9,24,1,1,15,escaped,1,"(7,1,9)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7375,31,6,1 10 13 17 27 29,2,after_1,8,7,15,1,1,8,escaped,1,"(6,1,7)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7379,31,6,1 3 10 13 20 29,2,after_1,17,1,18,1,1,17,escaped,1,"(0,1,1)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
7381,31,6,1 10 13 20 27 29,2,after_1,8,8,16,1,1,8,escaped,1,"(7,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7385,31,6,1 10 13 17 20 29,2,after_1,8,10,18,1,1,8,escaped,1,"(8,1,10)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7394,31,6,1 10 13 25 26 27,2,after_1,5,14,19,1,1,5,escaped,1,"(15,1,12)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7398,31,6,1 10 13 16 25 27,2,after_1,8,3,11,1,1,8,escaped,1,"(2,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7399,31,6,1 10 13 16 19 25,3,after_2,3,10,13,1,1,3,escaped,1,"(7,1,10)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7402,31,6,1 9 10 13 17 25,2,after_1,10,8,18,1,1,10,escaped,1,"(5,1,8)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7403,31,6,1 10 13 17 25 27,3,after_2,20,1,21,1,1,20,escaped,1,"(0,1,1)",1,1,17,"(1, 1, 17)",1,"(1, 1, 17)",1
7420,31,6,1 10 13 17 25 29,2,after_1,6,1,7,1,1,6,escaped,1,"(6,1,7)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7423,31,6,1 3 8 9 10 19,3,after_2,8,15,23,1,1,8,escaped,1,"(13,1,15)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7424,31,6,1 3 8 10 19 27,3,after_2,3,8,11,1,1,3,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7426,31,6,1 3 8 9 10 26,2,after_1,10,8,18,1,1,10,escaped,1,"(7,1,8)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
7427,31,6,1 3 8 10 26 27,2,after_1,8,4,12,1,1,8,escaped,1,"(2,1,4)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
7431,31,6,1 8 10 19 26 27,3,after_2,16,5,21,1,1,16,escaped,1,"(1,1,5)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7441,31,6,1 8 10 16 19 26,3,after_2,5,11,16,1,1,5,escaped,1,"(10,1,11)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7444,31,6,1 8 9 10 17 27,3,after_2,11,8,19,1,1,11,escaped,1,"(5,1,8)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
7451,31,6,1 8 10 17 19 26,3,after_2,12,3,15,1,1,12,escaped,1,"(2,1,3)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
7454,31,6,1 8 10 16 17 27,3,after_2,3,7,10,1,1,3,escaped,1,"(5,2,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7459,31,6,1 8 9 10 20 27,2,after_1,4,11,15,1,1,4,escaped,1,"(9,1,11)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7465,31,6,1 8 10 20 26 27,2,after_1,15,6,21,1,1,15,escaped,1,"(5,1,6)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
7468,31,6,1 8 9 10 16 20,2,after_1,16,2,18,1,1,16,escaped,1,"(0,1,2)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
7470,31,6,1 8 10 16 19 20,3,after_2,5,14,19,1,1,5,escaped,1,"(17,1,19)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7474,31,6,1 8 10 17 20 27,2,after_1,9,11,20,1,1,9,escaped,1,"(9,1,11)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
7478,31,6,1 3 8 9 10 29,2,after_1,22,1,23,1,1,22,escaped,1,"(0,1,1)",1,1,17,"(1, 1, 17)",1,"(1, 1, 17)",1
7479,31,6,1 3 8 10 27 29,2,after_1,10,1,11,1,1,10,escaped,1,"(9,1,11)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7480,31,6,1 8 9 10 27 29,2,after_1,19,2,21,1,1,19,escaped,1,"(1,1,2)",1,1,13,"(1, 1, 13)",1,"(1, 1, 13)",1
7482,31,6,1 8 9 10 19 29,2,after_1,6,7,13,1,1,6,escaped,1,"(5,2,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7483,31,6,1 8 10 19 27 29,2,after_1,3,10,13,1,1,3,escaped,1,"(9,1,10)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7484,31,6,1 3 8 10 26 29,2,after_1,17,1,18,1,1,17,escaped,1,"(0,1,1)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7486,31,6,1 8 10 26 27 29,2,after_1,15,4,19,1,1,15,escaped,1,"(5,1,3)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
7488,31,6,1 3 8 10 16 29,2,after_1,13,2,15,1,1,13,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7491,31,6,1 8 10 16 19 29,3,after_2,6,7,13,1,1,6,escaped,1,"(5,1,7)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
7492,31,6,1 8 10 16 26 29,2,after_1,8,8,16,1,1,8,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7496,31,6,1 8 10 17 19 29,3,after_2,13,5,18,1,1,13,escaped,1,"(2,1,5)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
7499,31,6,1 3 8 10 20 29,2,after_1,11,10,21,1,1,11,escaped,1,"(12,1,9)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
7500,31,6,1 8 9 10 20 29,2,after_1,8,10,18,1,1,8,escaped,1,"(8,1,10)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7508,31,6,1 8 9 10 25 27,3,after_2,17,1,18,1,1,17,escaped,1,"(0,1,1)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
7511,31,6,1 8 10 19 25 27,2,after_1,3,9,12,1,1,3,escaped,1,"(10,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7513,31,6,1 8 9 10 25 26,3,after_2,20,1,21,1,1,20,escaped,1,"(0,1,1)",1,1,17,"(1, 1, 17)",1,"(1, 1, 17)",1
7519,31,6,1 8 10 16 19 25,3,after_2,7,6,13,1,1,7,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
